Pretend,Bones in the Soil Rust in the Oil,Legs To Walk Us To Drop Us,07 Jan 2023 00:08
Pretend,Bones in the Soil Rust in the Oil,Those Luminous Noises Are God,07 Jan 2023 00:00
The Velvet Underground & Nico,The Velvet Underground & Nico,Heroin,06 Jan 2023 19:41
Origami Angel,Somewhere City,The Air Up Here,06 Jan 2023 19:34
Sun Kil Moon,Ghosts of the Great Highway,Carry Me  Ohio,03 Jan 2023 01:49
Sun Kil Moon,Benji,Ben's My Friend,03 Jan 2023 01:43
Sun Kil Moon,Benji,Ben's My Friend,02 Jan 2023 04:35
System of a Down,Toxicity,Aerials,02 Jan 2023 04:26
System of a Down,Toxicity,Psycho,02 Jan 2023 04:22
System of a Down,Toxicity,Toxicity,02 Jan 2023 04:18
System of a Down,Greatest Hits,Shimmy,02 Jan 2023 04:16
System of a Down,Kill Rock'n'Roll: Greatest Hits,Science,02 Jan 2023 04:14
System of a Down,Toxicity,ATWA,02 Jan 2023 04:11
System of a Down,Forest,Forest,02 Jan 2023 04:06
System of a Down,Toxicity,Bounce,02 Jan 2023 04:05
System of a Down,Toxicity,Chop Suey!,02 Jan 2023 03:53
System of a Down,Toxicity,X,02 Jan 2023 03:51
System of a Down,Toxicity,Jet Pilot,02 Jan 2023 03:48
System of a Down,Toxicity,Deer Dance,02 Jan 2023 03:45
System of a Down,Toxicity,Needles,02 Jan 2023 03:42
System of a Down,Toxicity,Prison Song,02 Jan 2023 03:39
Jeff Rosenstock,SKA DREAM,S K A D R E A M,02 Jan 2023 03:34
Childish Gambino,Awaken My Love!,Redbone,31 Dec 2022 06:42
MF DOOM,Operation: Doomsday,Doomsday,31 Dec 2022 06:36
Johnny Cash,American IV: The Man Comes Around,Hurt,30 Dec 2022 17:36
Johnny Cash,American IV: The Man Comes Around,Big Iron,30 Dec 2022 17:32
TTNG,Animals Acoustic,Gibbon,30 Dec 2022 05:17
Childish Gambino,Awaken My Love!,Redbone,30 Dec 2022 05:06
Frank Ocean,channel ORANGE,Pyramids,30 Dec 2022 04:56
Kendrick Lamar,good kid m.A.A.d city,Sing About Me I'm Dying of Thirst,30 Dec 2022 04:43
Kanye West,The Life of Pablo,Wolves,30 Dec 2022 04:39
Kanye West,The Life of Pablo,Saint Pablo,30 Dec 2022 04:32
Kanye West,College Dropout,Last Call,30 Dec 2022 04:19
Kanye West,College Dropout,Spaceship (feat. GLC Consequence),30 Dec 2022 04:14
Kendrick Lamar,good kid m.A.A.d city (Deluxe),Money Trees (feat. Jay Rock),29 Dec 2022 06:11
Kendrick Lamar,good kid m.A.A.d city,Sing About Me I'm Dying of Thirst,29 Dec 2022 05:59
Kanye West,My Beautiful Dark Twisted Fantasy,Runaway (feat. Pusha T),29 Dec 2022 05:48
Neutral Milk Hotel,In the Aeroplane Over the Sea,Two-Headed Boy,29 Dec 2022 05:43
Neutral Milk Hotel,On Avery Island,April 8th,29 Dec 2022 05:32
Jeff Mangum,Live at Jittery Joe's,Naomi,29 Dec 2022 05:26
Jeff Mangum,Live at Jittery Joe's,Gardenhead,29 Dec 2022 05:22
Jeff Mangum,Live at Jittery Joe's,Oh Comely,29 Dec 2022 05:14
Kendrick Lamar,DAMN.,Fear,28 Dec 2022 05:24
Madvillain,Madvillainy,Fancy Clown,28 Dec 2022 05:21
Madvillain,Madvillainy Instrumentals,Fancy Clown,28 Dec 2022 05:18
Neutral Milk Hotel,On Avery Island,Naomi,25 Dec 2022 22:43
Kanye West,Graduation,Flashing Lights,25 Dec 2022 21:34
Childish Gambino,Awaken My Love!,Redbone,25 Dec 2022 21:23
Alvvays,Antisocialites,Dreams Tonite,25 Dec 2022 21:20
John Fahey,John Fahey Volume 6 / Days Have Gone By,A Raga Called Pat Part 2,25 Dec 2022 21:08
John Fahey,John Fahey Volume 6 / Days Have Gone By,A Raga Called Pat Part 1,25 Dec 2022 21:01
Johnny Cash,American IV: The Man Comes Around,Big Iron,25 Dec 2022 20:57
The Smiths,Meat Is Murder,Well I Wonder,22 Dec 2022 21:51
The Beatles,The Beatles,Helter Skelter,22 Dec 2022 21:46
The Beatles,The Beatles,Rocky Raccoon,22 Dec 2022 20:05
Have a Nice Life,Deathconsciousness,Deep Deep,21 Dec 2022 17:56
Tortoise,TNT,I Set My Face to the Hillside,21 Dec 2022 17:48
Origami Angel,Somewhere City,The Air Up Here,21 Dec 2022 17:42
Jackson C. Frank,Jackson C. Frank,Blues Run the Game,21 Dec 2022 08:39
Pretend,Bones in the Soil Rust in the Oil,Legs To Walk Us To Drop Us,21 Dec 2022 08:35
Pretend,Bones in the Soil Rust in the Oil,Those Luminous Noises Are God,21 Dec 2022 08:27
The Beatles,The Beatles,Why Don't We Do It in the Road?,21 Dec 2022 08:25
The Beatles,The Beatles,Don't Pass Me By,21 Dec 2022 08:21
The Beatles,The Beatles,Rocky Raccoon,21 Dec 2022 08:17
The Beatles,The Beatles,Rocky Raccoon,21 Dec 2022 07:40
Sun Kil Moon,Benji,Ben's My Friend,21 Dec 2022 01:04
Ben's My Friend,,Sun Kil Moon (cover),21 Dec 2022 00:58
TTNG,Animals Acoustic,Gibbon,20 Dec 2022 18:09
TTNG,Animals Acoustic,Gibbon,20 Dec 2022 18:04
The Smiths,Meat Is Murder,Well I Wonder,16 Dec 2022 07:35
The Smiths,The Smiths,Suffer Little Children,16 Dec 2022 07:30
The Microphones,The Glow Pt. 2,My Warm Blood,16 Dec 2022 07:19
The Microphones,The Glow Pt. 2,Samurai Sword,16 Dec 2022 07:15
The Microphones,The Glow Pt. 2,I Felt Your Shape,16 Dec 2022 07:13
The Beatles,The Beatles,Helter Skelter,16 Dec 2022 07:09
The Beatles,The Beatles,Honey Pie,16 Dec 2022 07:06
